type,url,date
 Journée internationale de la conscience,https://www.journee-mondiale.com/638/journee-internationale-de-la-conscience.htm,5 avril
 Journée mondiale du travail invisible,https://www.journee-mondiale.com/379/journee-mondiale-du-travail-invisible.htm,5 avril
 Journée mondiale du sport pour le développement et la paix,https://www.journee-mondiale.com/383/journee-mondiale-du-sport-pour-le-developpement-et-la-paix.htm,6 avril
 Journée Internationale de réflexion sur le génocide de 1994 au Rwanda,https://www.journee-mondiale.com/179/journee-internationale-de-reflexion-sur-le-genocide-de-1994-au-rwanda.htm,7 avril
 Journée Mondiale de la santé,https://www.journee-mondiale.com/180/journee-mondiale-de-la-sante.htm,7 avril
 Journée nationale des ambulanciers,https://www.journee-mondiale.com/572/journee-nationale-des-ambulanciers.htm,8 avril
 Journée internationale des Roms,https://www.journee-mondiale.com/186/journee-internationale-des-roms.htm,8 avril
 Journée mondiale de la licorne,https://www.journee-mondiale.com/603/journee-mondiale-de-la-licorne.htm,9 avril
 Journée internationale des frères et sœurs,https://www.journee-mondiale.com/614/journee-internationale-des-freres-et-surs.htm,10 avril
 Journée Mondiale de la maladie de Parkinson,https://www.journee-mondiale.com/185/journee-mondiale-de-la-maladie-de-parkinson.htm,11 avril
 Journée internationale du vol spatial habité,https://www.journee-mondiale.com/480/journee-internationale-du-vol-spatial-habite.htm,12 avril
 Journée des enfants des rues,https://www.journee-mondiale.com/214/journee-des-enfants-des-rues.htm,12 avril
 Journée mondiale du scrabble,https://www.journee-mondiale.com/640/journee-mondiale-du-scrabble.htm,13 avril
 Journée mondiale de la maladie de Chagas,https://www.journee-mondiale.com/639/journee-mondiale-de-la-maladie-de-chagas.htm,14 avril
 Journées internationales de la Gastronomie,https://www.journee-mondiale.com/539/journees-internationales-de-la-gastronomie.htm,14 avril
 Journée Mondiale de l'Art,https://www.journee-mondiale.com/308/journee-mondiale-de-l-art.htm,15 avril
 Journée Mondiale contre l'esclavage des enfants,https://www.journee-mondiale.com/331/journee-mondiale-contre-l-esclavage-des-enfants.htm,16 avril
 Journée mondiale de la voix,https://www.journee-mondiale.com/263/journee-mondiale-de-la-voix.htm,16 avril
 Journée Mondiale des luttes paysannes,https://www.journee-mondiale.com/69/journee-mondiale-des-luttes-paysannes.htm,17 avril
 Journées nationales des numismates,https://www.journee-mondiale.com/690/journees-nationales-des-numismates.htm,17 avril
 Journée Mondiale de l'hémophilie,https://www.journee-mondiale.com/68/journee-mondiale-de-l-hemophilie.htm,17 avril
 Journée mondiale des radio amateurs,https://www.journee-mondiale.com/411/journee-mondiale-des-radio-amateurs.htm,18 avril
 Journée internationale des monuments et des sites,https://www.journee-mondiale.com/269/journee-internationale-des-monuments-et-des-sites.htm,18 avril
 Journée Mondiale du cirque,https://www.journee-mondiale.com/381/journee-mondiale-du-cirque.htm,19 avril
 Journée internationale de la langue chinoise,https://www.journee-mondiale.com/642/journee-internationale-de-la-langue-chinoise.htm,20 avril
 Journée mondiale de la créativité et de l’innovation,https://www.journee-mondiale.com/641/journee-mondiale-de-la-creativite-et-de-l-innovation.htm,21 avril
 Journée Mondiale des adjoint(e)s administratifs (-ves) et secrétaires,https://www.journee-mondiale.com/111/journee-mondiale-des-adjointes-administratifs--ves-et-secretaires.htm,21 avril
